Country,Year,index,temp70,temp45,temp26,temp70_smoothed,temp45_smoothed,temp26_smoothed,GtCO2e_cumsum70,abatement70,temp_diff70,GtCO2e_cumsum45,abatement45,temp_diff45,GtCO2e_cumsum26,abatement26,temp_diff26
ABW,2020,0,26.747581158262335,26.739032537286956,26.738927344119933,26.75378061529376,26.772312674117646,26.81113984675659,842.8966489437206,0.0,0.0,786.3811247563308,56.515524187389815,0.018532058823886643,762.063433797282,80.83321514643865,0.057359231462829285
ABW,2030,1,26.971134722674357,27.02715425844548,26.98585578070749,26.999849399043153,26.945485129017435,26.93693132104164,1568.077861557596,0.0,0.0,1350.296984775312,217.78087678228394,-0.05436427002571875,1230.5399546264935,337.5379069311025,-0.06291807800151261
ABW,2040,2,27.278351199988187,27.121998549952675,27.161219880075187,27.238976190014583,27.119774378518507,27.05578879090845,2407.5081903645205,0.0,0.0,1926.7321054271188,480.7760849374017,-0.119201811496076,1636.1994542882417,771.3087360762788,-0.18318739910613147
ABW,2050,3,27.4994002165618,27.24667963098599,27.084915274160902,27.442246722456286,27.27954987645855,27.134772102546222,3337.039282302806,0.0,0.0,2490.9085976750175,846.1306846277885,-0.16269684599773626,1966.493090080031,1370.546192222775,-0.30747461991006375
ABW,2060,4,27.580477766557195,27.496583788322702,27.19006361527879,27.647793184310025,27.42670285788055,27.160685614357373,4349.314497009131,0.0,0.0,3022.351289627446,1326.9632073816847,-0.22109032642947568,2196.103053490544,2153.2114435185867,-0.48710756995265214
ABW,2070,5,27.79113780834059,27.520464409722244,27.234246826171898,27.886983362195373,27.585607988678174,27.161043672988097,5449.852347440911,0.0,0.0,3506.472122330704,1943.380225110207,-0.30137537351719956,2327.987341173351,3121.86500626756,-0.7259396892072765
ABW,2080,6,28.194328215627984,27.761228064334777,27.090544868238066,28.16047564031829,27.722509306361474,27.14679126374141,6664.386104413549,0.0,0.0,3920.145361753433,2744.240742660116,-0.4379663339568154,2383.706679066941,4280.679425346609,-1.0136843765768795
ABW,2090,7,28.511489416051816,27.89085258201319,27.140819521303552,28.443602015028787,27.841028398784154,27.106938900452015,8023.618968318464,0.0,0.0,4235.851616159866,3787.7673521585975,-0.6025736162446336,2378.9372821313204,5644.681686187143,-1.3366631145767727
ABW,2100,8,28.67170571221248,27.91577555338544,27.060206773546028,28.724602786314968,27.957920327346066,27.068852265842843,9538.860648266145,0.0,0.0,4464.555511897279,5074.305136368866,-0.7666824589689014,2326.220102831605,7212.64054543454,-1.6557505204721252
AFG,2020,9,10.081595732818514,10.381992987435327,10.170013699266885,10.03220799841503,10.141013957329372,10.196672820547692,842.8966489437206,0.0,0.0,786.3811247563308,56.515524187389815,0.10880595891434197,762.063433797282,80.83321514643865,0.16446482213266123
AFG,2030,10,10.31628881764003,10.238345393543572,10.251945209448992,10.52804596446766,10.372582356452034,10.261196098356873,1568.077861557596,0.0,0.0,1350.296984775312,217.78087678228394,-0.15546360801562642,1230.5399546264935,337.5379069311025,-0.2668498661107872
AFG,2040,11,10.524185291540116,10.298947399303609,10.272962799482606,11.01465217226848,10.611422852132092,10.342698230140515,2407.5081903645205,0.0,0.0,1926.7321054271188,480.7760849374017,-0.4032293201363881,1636.1994542882417,771.3087360762788,-0.6719539421279652
AFG,2050,12,11.57104249089794,10.889673310774855,10.966911442642912,11.578055626971281,10.926040207875301,10.468457239758177,3337.039282302806,0.0,0.0,2490.9085976750175,846.1306846277885,-0.6520154190959797,1966.493090080031,1370.546192222775,-1.1095983872131043
AFG,2060,13,12.31664553543152,11.555907833560033,10.61207867917255,12.186844541255098,11.272681516958787,10.595477354638268,4349.314497009131,0.0,0.0,3022.351289627446,1326.9632073816847,-0.914163024296311,2196.103053490544,2153.2114435185867,-1.5913671866168304
AFG,2070,14,12.685612048142643,11.639298213444246,10.800310085026265,12.74050576586429,11.632398189630546,10.675512828540711,5449.852347440911,0.0,0.0,3506.472122330704,1943.380225110207,-1.1081075762337438,2327.987341173351,3121.86500626756,-2.064992937323579
AFG,2080,15,13.299725239982205,11.931857507543173,10.688930732376965,13.234148195732121,11.980691928414158,10.616090989300373,6664.386104413549,0.0,0.0,3920.145361753433,2744.240742660116,-1.2534562673179632,2383.706679066941,4280.679425346609,-2.6180572064317484
AFG,2090,16,13.757180129874005,12.375636838767749,10.443961588987577,13.673759347221953,12.316500473641232,10.51454472277085,8023.618968318464,0.0,0.0,4235.851616159866,3787.7673521585975,-1.3572588735807205,2378.9372821313204,5644.681686187143,-3.159214624451103
AFG,2100,17,14.035756928216152,12.633137484595252,10.41760848575695,14.10923798592171,12.656145957538481,10.400659385018622,9538.860648266145,0.0,0.0,4464.555511897279,5074.305136368866,-1.4530920283832298,2326.220102831605,7212.64054543454,-3.7085786009030883
AGO,2020,18,22.045865342948474,22.062679064208076,22.079628051377938,22.022710233059975,22.083718142504082,22.126912028719868,842.8966489437206,0.0,0.0,786.3811247563308,56.515524187389815,0.06100790944410761,762.063433797282,80.83321514643865,0.10420179565989329
AGO,2030,19,22.580776262426994,22.2864257365711,22.29459813081801,22.491269405263186,22.30722986174223,22.223708302865386,1568.077861557596,0.0,0.0,1350.296984775312,217.78087678228394,-0.18403954352095653,1230.5399546264935,337.5379069311025,-0.2675611023977993
AGO,2040,20,23.023378571412554,22.495519165148895,22.236480486323522,22.955885781098022,22.534002542921957,22.321890897700467,2407.5081903645205,0.0,0.0,1926.7321054271188,480.7760849374017,-0.4218832381760649,1636.1994542882417,771.3087360762788,-0.6339948833975555
