Country,Year,temp70,temp45,temp26,temp70_smoothed,temp45_smoothed,temp26_smoothed,abatement70,abatement45,abatement26,gdp70,bond_rate,warming_per_GtCO2e,inflation_longrun,gdp45_imputed,gdp26_imputed,real_bond_rate
ABW,2020,26.747581158262335,26.739032537286956,26.738927344119933,26.753780615293756,26.772312674117646,26.81113984675659,0.0,56.515524187389815,80.83321514643865,2.958603540806303,,-0.00020871777246100003,0.01,2.9648738215944856,2.9675746361577393,
ABW,2030,26.971134722674357,27.02715425844548,26.98585578070749,26.999849399043153,26.945485129017435,26.93693132104164,0.0,217.7808767822839,337.5379069311025,3.798728963515017,,-0.000208717772461,0.01,3.8302454640125045,3.8476537017310593,
ABW,2040,27.278351199988183,27.12199854995267,27.161219880075187,27.238976190014586,27.119774378518507,27.05578879090845,0.0,480.7760849374017,771.3087360762788,4.826593992376565,,-0.00020871777246099998,0.01,4.916483621828534,4.971370716065255,
ABW,2050,27.4994002165618,27.24667963098599,27.084915274160906,27.44224672245629,27.279549876458553,27.134772102546226,0.0,846.1306846277885,1370.546192222775,5.939612310774226,,-0.00020871777246100003,0.01,6.137457677738859,6.262392097375391,
ABW,2060,27.580477766557195,27.496583788322702,27.19006361527879,27.647793184310025,27.42670285788055,27.160685614357373,0.0,1326.9632073816847,2153.2114435185867,7.521301494263617,,-0.000208717772461,0.01,7.921310483940082,8.17788743821129,
ABW,2070,27.79113780834059,27.520464409722244,27.234246826171894,27.886983362195377,27.585607988678177,27.161043672988097,0.0,1943.3802251102072,3121.86500626756,9.693760844154346,,-0.00020871777246100003,0.01,10.465457534775709,10.954258185470463,
ABW,2080,28.194328215627984,27.761228064334777,27.090544868238066,28.16047564031829,27.722509306361474,27.14679126374141,0.0,2744.2407426601167,4280.679425346609,12.569666752959288,,-0.000208717772461,0.01,14.02073802218317,14.883781519756429,
ABW,2090,28.511489416051816,27.89085258201319,27.140819521303552,28.443602015028787,27.84102839878415,27.106938900452015,0.0,3787.7673521585975,5644.681686187143,15.72980689050555,,-0.000208717772461,0.01,18.3151700902014,19.688751815578307,
ABW,2100,28.671705712212475,27.91577555338544,27.060206773546028,28.724602786314968,27.957920327346063,27.068852265842843,0.0,5074.305136368866,7212.64054543454,19.93532766283157,,-0.000208717772461,0.01,24.481212356404072,26.605245520285397,
AFG,2020,10.081595732818514,10.381992987435329,10.170013699266883,10.03220799841503,10.141013957329372,10.196672820547692,0.0,56.515524187389815,80.83321514643865,63.701324786317016,,-0.0005069112156257,0.01,63.723554289258246,63.73296070458075,
AFG,2030,10.31628881764003,10.238345393543572,10.251945209448992,10.52804596446766,10.372582356452034,10.261196098356873,0.0,217.7808767822839,337.5379069311025,121.9331299768906,,-0.0005069112156257,0.01,122.1585180708891,122.27628523284724,
AFG,2040,10.524185291540116,10.298947399303607,10.272962799482606,11.01465217226848,10.611422852132092,10.342698230140517,0.0,480.7760849374017,771.3087360762788,218.85890307096327,,-0.0005069112156257,0.01,219.97801631479163,220.5935474306809,
AFG,2050,11.57104249089794,10.889673310774857,10.966911442642912,11.578055626971278,10.9260402078753,10.468457239758177,0.0,846.1306846277885,1370.546192222775,356.57837135965525,,-0.0005069112156257,0.01,360.5208041718757,362.65106032139647,
AFG,2060,12.31664553543152,11.555907833560031,10.61207867917255,12.186844541255098,11.272681516958787,10.595477354638268,0.0,1326.9632073816847,2153.2114435185867,603.7145202796348,,-0.0005069112156257,0.01,616.2303423903281,622.7291586087042,
AFG,2070,12.685612048142644,11.639298213444246,10.800310085026265,12.74050576586429,11.632398189630546,10.675512828540713,0.0,1943.380225110207,3121.86500626756,952.8635553898567,,-0.0005069112156257,0.01,985.7848829752072,1001.5548183440262,
AFG,2080,13.299725239982203,11.931857507543173,10.688930732376964,13.234148195732118,11.980691928414158,10.616090989300371,0.0,2744.240742660116,4280.679425346609,1254.680245363911,,-0.0005069112156257,0.01,1321.6592853194522,1349.2590095254575,
AFG,2090,13.757180129874005,12.375636838767749,10.443961588987577,13.673759347221951,12.316500473641232,10.51454472277085,0.0,3787.7673521585975,5644.681686187143,1769.9533706229402,,-0.0005069112156257,0.01,1908.0832524623647,1953.2056489237762,
AFG,2100,14.035756928216152,12.633137484595252,10.41760848575695,14.109237985921709,12.65614595753848,10.400659385018622,0.0,5074.305136368866,7212.64054543454,2565.0944303075526,,-0.0005069112156257,0.01,2844.7609952978646,2913.258276164417,
AGO,2020,22.04586534294847,22.062679064208076,22.079628051377934,22.022710233059975,22.08371814250408,22.126912028719868,0.0,56.515524187389815,80.83321514643865,112.58787727822512,,-0.0004970953713782,0.01,113.00644334919474,113.18674897946609,
AGO,2030,22.58077626242699,22.2864257365711,22.29459813081801,22.491269405263186,22.30722986174223,22.22370830286538,0.0,217.78087678228394,337.53790693110255,209.81255626361173,,-0.0004970953713782,0.01,212.9330549154173,214.6580201419843,
AGO,2040,23.02337857141255,22.495519165148895,22.23648048632352,22.955885781098026,22.53400254292196,22.321890897700467,0.0,480.7760849374017,771.3087360762788,369.5667570437338,,-0.0004970953713782,0.01,382.17445047347496,389.89287014370683,
AGO,2050,23.413415634979938,22.756904974756097,22.479237609482453,23.42657054148336,22.748191021220073,22.3661884560664,0.0,846.1306846277886,1370.546192222775,653.6900373108163,,-0.0004970953713782,0.01,694.5535119407468,720.5120750436786,
AGO,2060,23.91276278681605,22.987674382759028,22.358566995102137,23.87487057754373,22.962783919574477,22.401633770979497,0.0,1326.9632073816847,2153.2114435185867,1119.0650331838247,,-0.0004970953713782,0.01,1233.3770313891189,1307.503218416061,
