Country,Advanced pulverized coal,Combined cycle conventional,"Nuclear, APWR"
CHN,0.6805276537602594,1.8672891802427858,0.9264996994236442
EU,0.7782488519545694,1.578500501961119,0.997915982740064
IND,0.7782488519545694,1.578500501961119,0.6686807225451489
JPN,0.9099679012969948,2.05678562893941,1.216413100343649
USA,1.0,1.0,1.0
